34777308	7	6	6	75	7	7	6	
34778238	7	68	8	8	77	8	70	
34779168	7	64	8	75	45	7	6	
34780098	6	8	7	6	7	7	7	
34781028	8	7	6	7	7	8	69	
34781957	7	7	7	6	7	7	7	
34782887	7	8	80	8	91	85	81	
34783817	81	7	7	105	8	104	93	
34784747	83	8	6	18	7	99	14	
34789396	8	7	7	6	6	8	69	
34791256	7	7	86	9	92	86	83	
34793116	84	8	7	23	8	100	15	
34794046	7	7	6	13	6	7	7	
34794976	8	67	7	8	77	8	69	
34795906	7	71	7	76	42	7	6	
34796835	8	7	6	8	6	7	6	
34797765	8	8	7	7	6	8	69	
34798695	7	8	82	9	95	85	83	
34799625	8	7	82	9	89	88	81	
34800555	84	7	7	111	8	103	98	
34801485	81	7	7	13	8	107	16	
34802415	7	8	7	6	6	6	6	
34803345	7	70	7	7	79	8	69	
34804274	8	72	7	76	48	7	6	
34805204	7	8	7	7	7	7	7	
34806134	7	7	7	7	7	8	70	
34807064	6	8	83	9	94	87	81	
34807994	7	8	81	7	56	85	52	
34808924	82	7	7	110	8	103	98	
34809854	84	8	7	96	8	102	93	
34810784	7	8	7	7	6	6	6	
34811713	8	70	7	47	79	8	68	
34812643	8	67	7	77	42	7	6	
34813573	7	7	7	8	7	7	6	
34814503	7	7	7	6	6	8	66	
34815433	7	8	84	8	92	91	84	
34816363	7	7	78	7	7	84	7	
34817293	84	8	7	108	8	106	98	
34818223	82	7	7	107	9	103	97	
34819152	6	7	8	61	6	6	6	
34820082	7	69	8	77	78	8	70	
34821012	8	68	8	78	39	7	6	
34821942	7	8	7	7	31	6	7	
34822872	7	7	7	7	6	7	10	
34823802	7	8	84	9	92	85	78	
34824732	7	7	80	7	6	84	7	
34825662	79	8	8	105	8	102	97	
34826591	85	8	7	105	7	105	97	
34827521	7	8	7	72	7	7	6	
34828451	7	67	8	76	77	8	66	
34829381	7	68	8	78	41	8	36	
34830311	7	8	6	7	106	7	7	
34831241	7	7	6	6	6	8	5	
34832171	7	7	83	7	91	86	58	
34833101	7	8	83	7	7	83	8	
34834030	82	7	8	109	9	105	100	
34834960	84	8	8	107	8	104	96	
34835890	8	7	7	74	6	7	7	
34836820	8	69	7	80	79	8	69	
34837750	7	68	8	20	70	8	68	
34838680	7	7	7	8	105	7	6	
34839610	7	6	6	6	7	7	6	
34840540	7	7	83	8	89	89	33	
34841469	7	7	79	7	8	86	7	
34842399	86	8	7	106	7	102	100	
34843329	84	7	6	109	8	105	95	
34844259	7	7	7	76	7	6	6	
34845189	7	69	8	75	79	8	69	
34846119	8	67	8	7	77	9	68	
34847049	7	8	6	7	101	7	6	
34851698	82	7	7	105	8	104	95	
34853558	7	69	7	77	78	8	71	
34855418	7	7	7	8	104	7	6	
34856347	8	7	8	7	7	8	46	
34857277	7	7	79	8	92	88	31	
34858207	7	8	36	7	38	36	34	
34859137	82	7	7	108	8	104	94	
34860067	81	7	7	104	8	101	95	
34860997	7	7	7	80	6	7	6	
34861927	7	71	7	79	78	7	71	
34862857	7	70	8	6	79	7	68	
34867506	81	7	7	104	8	100	96	
34869366	7	7	6	77	7	8	54	
34871225	8	70	7	7	79	8	69	
34872155	7	7	6	7	7	7	6	
34873085	8	7	6	7	7	7	6	
34874015	7	7	83	7	90	84	63	
34874945	6	7	86	8	90	86	77	
34875875	84	8	7	107	8	102	97	
34876805	86	8	7	106	8	104	95	
34877735	8	7	6	79	6	7	6	
34878664	8	69	8	76	79	8	70	
34879594	8	70	7	8	76	8	70	
34880524	7	8	7	7	6	7	7	
34881454	7	8	7	7	7	7	6	
34882384	6	8	83	8	92	86	66	
34883314	8	8	69	7	76	72	67	
34884244	84	8	7	107	8	103	94	
34885174	78	8	6	104	8	102	96	
34886103	7	7	7	78	6	7	7	
34887033	7	67	8	78	76	8	67	
34887963	8	69	8	31	63	8	46	
34888893	7	7	7	7	7	8	7	
34889823	7	8	7	7	6	7	7	
34890753	7	8	85	8	93	89	82	
34891683	7	7	6	6	7	7	6	
34892613	82	8	6	103	9	102	98	
34893542	20	7	6	24	7	26	22	
34894472	6	7	6	66	6	7	7	
34895402	7	68	8	78	78	8	69	
34896332	7	66	7	8	77	8	64	
34897262	7	7	7	6	6	7	6	
34898192	6	8	6	7	7	7	6	
34899122	7	7	82	7	88	83	81	
34900052	7	7	7	7	6	7	7	
34900981	83	8	7	97	7	103	87	
34901911	6	7	6	7	6	6	6	
34902841	8	7	8	6	6	6	6	
34903771	8	71	8	78	78	8	69	
34904701	8	70	7	7	78	9	66	
34905631	7	7	7	7	6	7	6	
34906561	7	8	6	6	6	7	60	
34907491	7	7	81	8	95	88	84	
34908420	7	7	7	7	6	7	6	
34909350	81	7	8	101	8	105	89	
34913070	7	67	8	7	76	9	69	
34914930	7	7	7	6	7	8	6	
34916789	8	7	7	6	6	7	6	
34917719	83	7	7	105	8	100	96	
34918649	7	7	7	7	7	6	7	
34919579	8	7	6	7	7	7	7	
34920509	7	67	8	22	41	8	65	
34921439	7	8	7	6	7	8	7	
34922369	8	7	8	6	6	7	7	
34923298	7	7	7	7	6	7	7	
34924228	7	8	18	7	9	26	81	
34925158	7	7	7	7	6	7	7	
34926088	81	7	7	107	8	102	94	
34927018	8	7	7	7	6	8	7	
34927948	8	8	7	8	6	7	6	
34929808	7	7	7	8	7	8	7	
34931667	6	8	6	6	6	7	6	
34932597	6	8	57	7	49	56	80	
34933527	7	7	6	6	6	7	7	
34934457	85	8	7	107	8	106	99	
34935387	7	7	5	7	6	6	6	
34936317	8	6	8	7	7	7	7	
34937247	7	68	7	64	72	7	67	
34938176	7	7	7	6	7	7	6	
34939106	8	8	7	7	7	7	7	
34940036	7	6	7	6	5	7	7	
34940966	7	8	82	8	95	89	82	
34941896	7	7	7	7	6	7	7	
34942826	86	7	7	111	7	103	97	
34943756	7	7	7	8	6	7	7	
34944686	6	8	7	7	7	7	6	
34945615	8	68	7	75	80	8	69	
34946545	8	7	6	7	7	7	7	
34947475	7	7	7	7	6	7	6	
34948405	8	8	7	6	6	7	7	
34949335	8	8	82	9	94	89	79	
34950265	7	6	7	6	6	6	7	
34951195	80	7	8	106	8	104	98	
34952125	8	7	7	8	7	7	6	
34953054	7	8	6	7	7	8	6	
34953984	7	68	7	80	78	8	68	
34954914	7	7	7	7	7	7	7	
34955844	8	8	6	6	6	8	6	
34956774	7	8	7	8	5	7	6	
34957704	6	8	83	9	88	87	80	
34958634	7	7	6	6	6	7	6	
34959564	81	7	7	105	8	105	101	
34960493	7	8	7	6	6	7	6	
34961423	7	7	7	8	7	6	6	
34962353	7	68	8	77	79	8	68	
34963283	7	7	7	7	7	6	7	
34964213	7	8	6	7	7	7	6	
34965143	8	7	6	6	6	7	7	
34966073	7	8	84	7	91	86	81	
34967003	48	7	8	59	7	58	55	
34967932	85	8	7	100	8	103	87	
34968862	7	6	7	8	6	7	7	
34969792	7	7	7	7	7	7	6	
34970722	7	68	9	76	80	8	69	
34971652	7	7	7	7	6	7	7	
34972582	7	7	7	7	6	6	7	
34973512	7	7	7	6	6	7	6	
34974442	7	8	82	8	89	84	81	
34975371	82	6	7	102	8	104	96	
