27867013	3	4	4	3	4	55	
27868045	8	8	146	8	143	136	
27869077	33	7	111	34	142	108	
27870109	243	16	13	204	255	223	
27871141	89	5	5	120	90	93	
27872173	5	68	7	77	6	77	
27873205	10	174	10	132	10	146	
27874237	4	28	4	6	4	26	
27875269	4	3	4	3	4	59	
27876301	8	9	130	9	130	123	
27877333	15	7	124	17	136	105	
27878365	241	16	12	218	255	235	
27879397	98	7	6	119	108	100	
27880429	5	51	5	78	5	61	
27881461	11	178	10	141	11	145	
27882493	3	39	5	6	4	39	
27883525	4	4	4	3	4	56	
27884557	7	7	113	7	112	106	
27885589	8	7	140	8	140	112	
27886621	242	16	14	230	255	255	
27887653	122	7	7	120	133	100	
27888685	4	41	5	69	4	49	
27889717	10	175	11	156	10	146	
27890749	4	55	5	6	4	54	
27891781	3	3	4	3	4	50	
27892813	6	6	107	7	107	92	
27893845	7	7	151	8	152	129	
27894877	220	15	14	230	237	244	
27895909	134	9	8	113	152	103	
27896941	3	26	4	71	5	33	
27897973	10	171	10	157	11	151	
27899005	6	65	6	9	5	66	
27900037	3	4	4	3	4	51	
27901069	5	6	87	6	90	74	
27902101	8	8	163	9	164	146	
27903133	199	14	12	213	220	223	
27904165	158	9	9	115	176	127	
27905197	3	14	4	80	5	21	
27906229	10	177	10	142	10	165	
27907261	6	79	6	21	5	70	
27908293	4	3	4	4	4	46	
27909325	5	5	73	7	72	61	
27910357	8	10	181	10	181	167	
27911389	182	12	11	191	205	199	
27912421	180	12	10	140	196	151	
27913453	3	3	3	83	4	7	
27914485	11	176	11	130	11	173	
27915517	7	92	5	34	5	64	
27916549	3	2	4	3	3	43	
27917581	5	5	54	5	53	55	
27918613	8	10	192	11	196	174	
27919645	162	12	11	175	177	183	
27920677	196	11	9	162	211	169	
27921709	2	3	4	86	5	8	
27922741	11	166	10	125	10	176	
27923773	7	107	6	48	6	65	
27924805	4	4	3	4	3	43	
27925837	4	4	42	4	40	47	
27926869	9	11	193	10	196	169	
