186049272	207	7	8	231	9	227	205	
186051336	4	11	6	99	13	4	15	
186053400	5	97	7	35	84	5	67	
186054432	4	4	5	4	50	4	47	
186055464	4	5	71	5	72	68	58	
186056496	4	6	197	7	164	202	162	
186057528	188	5	8	206	9	201	184	
186058560	200	6	6	167	8	212	147	
186059592	4	4	6	101	6	3	8	
186060624	6	193	7	148	181	8	177	
186063720	4	4	53	4	55	53	50	
186065784	166	6	10	187	11	181	169	
186067848	4	4	6	100	5	3	8	
186068880	5	175	8	134	174	8	165	
186069912	5	127	6	61	98	6	72	
186070944	4	5	6	5	51	4	37	
186071976	4	4	37	4	38	36	47	
186073008	4	6	208	8	170	206	150	
186074040	148	6	25	161	27	177	166	
186075072	231	7	8	202	10	255	187	
186076104	3	4	5	101	5	4	8	
186080232	4	4	20	4	19	19	45	
186082296	126	6	36	141	35	168	152	
186084360	4	4	6	102	4	3	9	
186085392	5	148	8	100	145	7	138	
186086424	5	155	8	92	126	6	102	
186087456	4	4	5	5	52	5	10	
186088488	4	4	5	4	5	5	44	
186089520	4	7	220	9	211	222	181	
186090552	103	5	52	120	35	163	135	
186091584	255	7	8	225	10	255	201	
186094680	6	172	9	108	144	8	112	
186095712	4	4	5	5	53	5	5	
186097776	5	6	205	8	209	211	179	
186099840	255	7	8	224	10	255	202	
186100872	33	5	6	123	5	38	39	
186101904	5	117	7	93	120	6	108	
186102936	5	181	8	117	151	7	125	
186103968	4	4	5	5	53	4	4	
186105000	4	4	5	4	5	5	55	
186106032	5	5	194	8	193	185	163	
186107064	67	4	85	76	49	153	111	
186109128	55	4	7	127	6	58	53	
186111192	6	190	9	128	164	6	133	
186113256	5	5	5	4	5	4	53	
186114288	4	6	171	7	171	170	145	
186115320	46	5	104	55	64	155	106	
186116352	255	6	8	227	11	255	201	
186117384	76	5	5	134	6	82	74	
186118416	5	88	6	92	91	5	87	
186119448	5	195	7	147	164	7	134	
186120480	4	19	6	4	67	4	16	
186121512	4	4	5	5	5	4	57	
186122544	5	6	154	7	152	148	132	
186123576	28	5	123	34	82	147	103	
186124608	255	6	7	237	9	255	213	
186125640	96	5	6	141	7	103	93	
186126672	5	76	7	91	76	6	71	
186127704	6	194	9	161	161	7	136	
186128736	5	34	6	9	81	5	27	
186129768	5	5	6	5	5	4	57	
186130800	5	5	140	7	137	138	116	
186131832	10	5	137	13	98	146	98	
186132864	250	6	7	252	11	255	226	
186133896	110	4	6	138	7	121	95	
186134928	4	58	6	83	63	5	60	
186135960	6	189	9	170	161	7	137	
186136992	4	51	6	9	97	6	42	
186138024	4	5	6	4	5	5	53	
186139056	4	5	118	6	115	117	96	
186140088	4	5	152	6	117	156	110	
186141120	249	7	9	255	10	255	242	
186142152	134	5	5	134	7	144	94	
186143184	4	44	5	67	46	5	45	
186144216	7	191	9	190	163	7	136	
186145248	5	62	5	8	100	5	57	
186146280	5	5	6	5	7	5	50	
186147312	3	5	110	6	115	109	83	
186148344	4	6	167	6	125	169	129	
186149376	232	7	9	253	11	249	230	
186150408	157	5	6	123	8	165	99	
186151440	4	29	6	84	31	4	32	
186152472	6	195	10	185	172	8	144	
186153504	5	78	6	15	91	5	65	
186154536	5	4	5	5	26	5	51	
186155568	4	5	94	6	97	93	69	
186156600	5	6	180	8	140	185	141	
186157632	211	6	8	235	9	228	209	
186158664	175	5	7	133	9	186	118	
186159696	4	16	6	99	16	4	18	
186160728	6	193	8	168	179	9	159	
186161760	4	90	6	31	81	5	64	
186162792	4	5	5	5	45	5	46	
186163824	4	5	73	6	77	74	60	
186164856	4	6	197	7	158	200	157	
186165888	192	6	8	213	9	207	188	
186166920	193	6	7	155	7	204	140	
186167952	4	4	6	97	6	4	8	
186168984	6	190	7	152	186	7	172	
186170016	4	105	7	46	87	6	69	
186171048	4	5	5	5	52	5	45	
186172080	4	5	58	5	59	59	49	
186173112	4	5	209	9	176	210	169	
186174144	168	5	7	187	8	190	170	
186175176	211	6	8	188	9	223	161	
186176208	3	3	6	103	5	5	8	
186177240	6	177	8	138	179	7	166	
186178272	5	123	7	61	96	6	69	
186179304	3	4	5	4	52	5	40	
186180336	4	3	40	5	43	42	46	
186181368	4	8	206	8	172	208	156	
186182400	154	6	22	171	24	182	161	
186183432	240	6	8	205	10	252	180	
186184464	4	4	5	101	6	4	8	
186185496	6	166	8	124	167	8	153	
